Redump_Name,Serial_1,Serial_2
007 - Agent im Kreuzfeuer (Germany),DOL-GW7D-NOE,
007 - Agent Under Fire (Europe),DOL-GW7P-EUR,
007 - Agent Under Fire (USA),DOL-GW7E-USA,
007 - Agent Under Fire (USA) (Beta) (2002-01-25),,
007 - Agent Under Fire (USA) (Rev 1),DOL-GW7E-USA,
007 - Alles oder Nichts (Germany),DOL-GEND-NOE,DOL-GEND-NOE-01
007 - Bons Baisers de Russie (France),DOL-GLZF-FRA,
007 - Espion pour Cible (France),DOL-GW7F-FRA,
"007 - Everything or Nothing (Europe) (En,It,Nl,Sv)",DOL-GENP-EUR,
007 - Everything or Nothing (Japan),DOL-GENJ-JPN,
007 - Everything or Nothing (USA),DOL-GENE-USA,
007 - From Russia with Love (Europe),DOL-GLZP-EUT,DOL-GLZP-UKV
007 - From Russia with Love (USA),DOL-GLZE-USA,
007 - Liebesgruesse aus Moskau (Germany),DOL-GLZD-NOE,
"007 - Nightfire (Europe) (En,It,Nl,Sv)",DOL-GO7P-EUR,
007 - Nightfire (France),DOL-GO7F-FRA,
007 - Nightfire (Germany),DOL-GO7D-NOE,DOL-GO7D-NOE-01
007 - Nightfire (Spain),DOL-GO7S-ESP,
007 - Nightfire (USA),DOL-GO7E-USA,
007 - Quitte ou Double (France),DOL-GENF-FRA,
007 - Todo o Nada (Spain),DOL-GENS-ESP,
"1080 Avalanche (Europe) (En,Fr,De,Es,It)",DOL-GTEP-EUR,
1080 Avalanche (Korea),DOL-GTEW-KOR,
1080 Avalanche (USA),DOL-GTEE-USA,
1080 Silver Storm (Japan),DOL-GTEJ-JPN,
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",DOL-GWEP-EUR,
18 Wheeler - American Pro Trucker (Japan),DOL-GWEJ-JPN,
18 Wheeler - American Pro Trucker (USA),DOL-GWEE-USA,
18 Wheeler - American Pro Trucker (USA) (Beta) (2001-11-12),,
2 Games in 1 - Bob L'eponge - Le Film + Tak 2 - Le Sceptre des Reves (France) (Disc 2) (Tak 2 - Le Sceptre des Reves),DOL-GU3X-1-FAH,
"2 Games in 1 - Bob L'eponge - Le Film + Tak 2 - Le Sceptre des Reves (France) (Fr,Nl) (Disc 1) (Bob L'eponge - Le Film)",DOL-GU3X-0-FAH,
2 Games in 1 - Disney-Pixar Die Unglaublichen + Disney-Pixar Findet Nemo (Germany) (Disc 1),DOL-GU2D-0-NOE,
2 Games in 1 - Disney-Pixar Die Unglaublichen + Disney-Pixar Findet Nemo (Germany) (Disc 2),DOL-GU2D-1-NOE,
2 Games in 1 - Disney-Pixar Les Indestructibles + Disney-Pixar Le Monde de Nemo (France) (Disc 1) (Les Indestructibles),DOL-GU2F-0-FRA,
2 Games in 1 - Disney-Pixar Les Indestructibles + Disney-Pixar Le Monde de Nemo (France) (Disc 2) (Le Monde de Nemo),DOL-GU2F-1-FRA,
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon SpongeBob Schwammkopf - Schlacht um Bikini Bottom (Germany) (Disc 1),DOL-GU4Y-0-NOE,
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon SpongeBob Schwammkopf - Schlacht um Bikini Bottom (Germany) (Disc 2),DOL-GU4Y-1-NOE,
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon Tak 2 - Der Stab der Traeume (Germany) (Disc 1),DOL-GU3D-0-NOE,
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon Tak 2 - Der Stab der Traeume (Germany) (Disc 2),DOL-GU3D-1-NOE,
2002 FIFA World Cup (Europe),DOL-GFSP-EUR,
"2002 FIFA World Cup (Europe) (Fr,Nl)",DOL-GFSX-FAH,
2002 FIFA World Cup (France),DOL-GFSF-FRA,
2002 FIFA World Cup (Germany),DOL-GFSD-NOE,
2002 FIFA World Cup (Japan),DOL-GFIJ-JPN,
2002 FIFA World Cup (Japan) (Jitsuen-you Sample),DOL-DFIJ-DIS,
2002 FIFA World Cup (USA),DOL-GFIE-USA,
"4 Fantastiques, Les (France)",DOL-GF4F-FRA,
4x4 Evo 2 (USA),DOL-GE4E-USA,
