redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
"$1,000,000 Pyramid, The (USA)",RVL-SP3E-USA-B0,,,,
007 - Nagusame no Houshuu (Japan),RVL-RJ2J-JPN,,,,
"007 - Quantum of Solace (Europe) (En,Fr,De,Es,It)",RVL-RJ2P-EUR,,,,
"007 - Quantum of Solace (USA) (En,Fr)",RVL-RJ2E-USA,,,,
"10 Minute Solution (Europe) (En,Fr,De,Es,It)",RVL-SM2P-EUR-B0,,,,
"10 Minute Solution (USA) (En,Fr)",RVL-SM2E-USA-B0,,,,
"101-in-1 Party Megamix (USA) (En,Fr,Es)",RVL-RYEE-USA-B0,,,,
"101-in-1 Party Megamix Wii (Europe) (En,Fr,De,Es,It,Nl)",RVL-RYEP-EUR-B0,,,,
"101-in-1 Party Megamix Wii (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)",RVL-RYEP-EUR-B0,,,,
"101-in-1 Sports Party Megamix (Europe) (En,Fr,De,Es,It,Nl)",RVL-SOIP-EUR-B0,,,,
"101-in-1 Sports Party Megamix (USA) (En,Fr,Es)",RVL-SOIE-USA-B0,,,,
2 in 1 - Meine Tierpension + Meine Tiersprechstunde (Germany),RVL-SL7D-GER-B0,,,,
"2 in 1 - Pony Friends 2 + My Riding Stables - Life with Horses (Europe) (En,Fr,De,Es,It)",RVL-S26P-EUR-B0,,,,
2010 FIFA World Cup - Minami Africa Taikai (Japan),RVL-SFWJ-JPN-B0,,,,
"2010 FIFA World Cup South Africa (Canada) (En,Fr)",RVL-SFWZ-CAN-B0,,,,
"2010 FIFA World Cup South Africa (Europe) (En,Nl)",RVL-SFWP-EUR-B0,,,,
"2010 FIFA World Cup South Africa (Europe) (Es,It)",RVL-SFWY-EUT-B0,,,,
"2010 FIFA World Cup South Africa (Europe) (Fr,De)",RVL-SFWX-EUU-B0,,,,
2010 FIFA World Cup South Africa (Korea),RVL-SFWK-KOR-B0,,,,
"2010 FIFA World Cup South Africa (USA) (En,Es)",RVL-SFWE-USA-B0,,,,
"40 Principales, Los - Karaoke Party (Spain) (En,Es)",RVL-SL4P-EUR-B0,,,,
"40 Principales, Los - Karaoke Party Vol. 2 (Spain) (En,Es)",RVL-SLMP-EUR-B0,,,,
428 - Fuusa Sareta Shibuya de (Japan),RVL-RTOJ-JPN,,,,
428 - Fuusa Sareta Shibuya de (Japan) (Taikenban),RVL-DTOJ-JPN,,,,
"ABBA - You Can Dance (Europe) (En,Fr,De,Es,It,Sv,No,Da,Ro)",RVL-S2EP-EUR-B0,,,,
"ABBA - You Can Dance (USA) (En,Fr,Es)",RVL-S2EE-USA-B0,,,,
ABC Wipeout - Create & Crash (USA),RVL-S2YE-USA-B0,,,,
ABC Wipeout - The Game (USA),RVL-SOTE-USA-B0,,,,
ABC Wipeout 2 (USA),RVL-SW2E-USA-B0,,,,
ABC Wipeout 3 (USA),RVL-SSVE-USA-B0,,,,
"Academy of Champions - Football (Europe) (En,Fr,De,Es,It,Nl)",RVL-R5FP-EUR-B0,,,,
"Academy of Champions - Soccer (USA) (En,Fr,Es)",RVL-R5FE-USA-B0,,,,
ACB Total 2010-2011 (Spain),RVL-SACS-ESP-B0,,,,
"AC-DC Live - Rock Band (Europe) (En,Fr,De,Es,It)",RVL-R33P-EUR,,,,
AC-DC Live - Rock Band Track Pack (USA),RVL-R33E-USA,,,,
Action Girlz Racing (UK),RVL-RGYP-UKV,,,,
Action Girlz Racing (USA),RVL-RGYE-USA,,,,
"Active Life - Explorer (USA) (En,Fr,Es)",RVL-S2AE-USA-B0,,,,
Active Life - Extreme Challenge (USA),RVL-REJE-USA-B0,,,,
Active Life - Magical Carnival (USA) (Beta) (2011-11-07),,,,,
"Active Life - Magical Carnival (USA) (En,Fr,Es)",RVL-SFDE-USA-B0,,,,
"Active Life - Outdoor Challenge (USA) (En,Fr)",RVL-RFAE-USA,,,,
Activision Demo Action Pack (USA),RVL-R9AE-USA,,,,
"Adibou et les Saisons Magiques ~ Addy Junior und die Verzauberte Natur (Europe) (Fr,De)",RVL-R8UX-EUR-B0,,,,
"Adventures of Tintin, The - The Game (USA) (En,Fr,Es,Pt)",RVL-STNE-USA-B0,,,,
"Adventures of Tintin, The - The Secret of the Unicorn (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",RVL-STNP-EUR-B0,,,,
AFL - Game of the Year Edition (Australia),RVL-SS6U-AUS-B0,,,,
AFL (Australia),RVL-SAFU-AUS-B0,,,,
"Agatha Christie - And Then There Were None (Europe) (En,Fr,De,Es,It)",RVL-RQTP-EUR,,,,
Agatha Christie - And Then There Were None (USA),RVL-RQTE-USA,,,,
"Agatha Christie - Evil Under the Sun (Europe) (En,Fr,De,Es,It)",RVL-RQEP-EUR,,,,
"Agatha Christie - Evil Under the Sun (USA) (En,Fr,Es)",RVL-RQEE-USA,,,,
"Agent Hugo - Hula Holiday (Europe) (En,Fr,De,Es,It,Nl,Pt)",RVL-R3HP-EUR,,,,
"Agent Hugo - Hula Holiday (Scandinavia) (En,Sv,No,Da,Fi)",RVL-R3HX-SCN,,,,
"Agent Hugo - Lemoon Twist (Europe) (En,Fr,De,Es,It,Nl,Pt)",RVL-RHGP-EUR,,,,
"Agent Hugo - Lemoon Twist (Scandinavia) (En,Sv,No,Da,Fi)",RVL-RHGX-SCN,,,,
Akko de Pon! Ikasama Hourou-ki (Japan),RVL-RHPJ-JPN,,,,
Akumajou Dracula Judgment (Japan),RVL-RDGJ-JPN,,,,
Aladdin Magic Racer (USA),RVL-SARE-USA-B0,,,,
"Aladin Magic Racer (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)",RVL-SARP-EUR-B0,,,,
"Alan Hansen's Sports Challenge (Europe) (En,Fr,De,Es,It)",RVL-RCKP-UKV,,,,
"Alien Monster Bowling League (Europe) (En,Fr,De,Es,It)",RVL-SABP-EUR-B0,,,,
Alien Monster Bowling League (USA),RVL-SABE-USA-B0,,,,
"Alien Syndrome (Europe) (En,Fr,De,Es,It)",RVL-RLSP-EUR,,,,
Alien Syndrome (USA),RVL-RLSE-USA,,,,
Alien Syndrome (USA) (Beta) (2007-05-21),,,,,
"Aliens in the Attic (Europe) (En,Fr,De,Es,It)",RVL-RUOP-EUR-B0,,,,
"Aliens in the Attic (USA) (En,Es)",RVL-RUOE-USA-B0,,,,
"All Round Hunter (Europe) (En,Fr,De,Es,It)",RVL-SFSP-EUR-B0,,,,
All Star Cheer Squad (USA),RVL-RCXE-USA,,,,
All Star Cheer Squad 2 (USA),RVL-R5YE-USA-B0,,,,
"All Star Cheerleader (Europe) (En,Fr,De,Es)",RVL-RCXP-EUR,,,,
"All Star Cheerleader (Scandinavia) (Sv,No,Da,Fi)",RVL-RCXX-SCN,,,,
"All Star Cheerleader 2 (Europe, Australia)",RVL-R5YP-UKV-B0,,,,
All Star Cheerleader 2 (Germany),RVL-R5YD-NOE-B0,,,,
"All Star Karate (Europe) (En,Fr,De,Es,It,Nl)",RVL-SKTP-EUR-B0,,,,
"All Star Karate (USA) (En,Fr,Es)",RVL-SKTE-USA-B0,,,,
