redump_name,serial_1,serial_2,serial_3
20th Century Video Almanac (USA),,,
3D Atlas (Europe),,,
3D Atlas (USA),,,
3DO de Shiru Miru Asobu - Nakajima Miyuki (Japan),VDS-293,,
"3DO Game Guru (USA, Europe)",,,
"3DO Interactive Sampler CD 2, The (USA)",,,
"3DO Interactive Sampler CD 3, The (USA)",,,
"3DO Interactive Sampler CD 4, The (USA)",,,
"3DO Interactive Sampler CD, The (USA)",,,
"3DO Interactive Sampler, The (Europe)",,,
"3DO Multi Game Sampler Number 3, The (Europe)",,,
"Adventures Of Captain J, The (USA) (Unl)",,,
Agi Gongnyong Goldie (Korea),,,
AI Shougi (Japan),FZ-SJ4452,,
"Alone in the Dark (Europe) (En,Fr)",,,
"Alone in the Dark (Europe) (En,Fr) (NTSC Version)",,,
Alone in the Dark (Japan),FZ-SJ2951,,
Alone in the Dark (USA),,,
Alone in the Dark (USA) (Demo),,,
Alone in the Dark 2 (France),ALON2FR7011,,
Alone in the Dark 2 (Japan),E3D-7023,,
Alone in the Dark 2 (USA),,,
Anno Mitsumasa Pepperon-mura no Shiki (Japan),FZ-SJ6351,,
Aqua World - Umi Monogatari (Japan),FZ-SJ3351,,
Armageddon (Korea),GDT-GA401,,
AutoBahn Tokio (Japan),FZ-SJ7801,,
AutoBahn Tokio (Japan) (Demo),FZ-JJ9DST-5L,,
Bakushou!! All Yoshimoto Quiz-ou Kettei-sen (Japan),FZ-SJ5451,,
"Ballz - The Director's Cut (World) (En,Ja)",BZTDC-101, FZ-SJ3157, FZ-SW004
Battle Blues (Korea),GDT-GA411,,
Battle Chess (Europe),,,
Battle Chess (Japan),FZ-SJ1658,,
Battle Chess (USA),,,
Battle Pinball (Japan),FZ-SJ0802,,
BattleSport (Europe),,,
BattleSport (USA),,,
BattleSport (USA) (Beta) (1995-09-22),,,
BC Racers (USA) (Beta) (1995-09-29),,,
"BC Racers (USA, Europe)",GSW206,,
Belzerion (Japan),FZ-SJ3251,,
BFS - Blue Forest Story (Japan),FZ-SJ4101,,
BFS - Blue Forest Story (Japan) (Alt),FZ-SJ4101,,
BioFury (USA) (Unl),,,
Blade Force (Europe),,,
Blade Force (Japan),FZ-SJ6753,,
Blade Force (Korea),GDT-GA351,,
Blade Force (USA),,,
Blade Force (USA) (Beta) (1995-09-06),,,
Blonde Justice (USA),,,
Blood Angels (Japan),E3D-7029,,
Bodyconscious Digital Rave! Part 1 - Shinjuku & Takasaki (Japan),TPS-18011,,
Bonogurashi (Japan),FZ-SJ4952,,
BrainDead 13 (USA) (Disc 1),,,
BrainDead 13 (USA) (Disc 1) (RE-1),,,
BrainDead 13 (USA) (Disc 2),,,
Burning Soldier (Canada),FZ-SC0401,,
Burning Soldier (Europe),FZ-SE0401,,
Burning Soldier (Japan),FZ-JJ9DS-PV, FZ-SJ0402,
"Burning Soldier (USA, Korea)",FZ-SM0401, GDT-GA 051,
Bust-A-Move (USA),FZ-SM0252,,
Cannon Fodder (Europe),,,
Cannon Fodder (USA),,,
Cannon Fodder (USA) (Beta),,,
Captain Quazar & BattleSport (Europe) (Demo),,,
Captain Quazar (Europe),,,
Captain Quazar (Japan),FZ-SJ6754,,
Captain Quazar (Korea),GDT-GA361,,
Captain Quazar (USA),,,
Captain Quazar (USA) (Beta) (1995-09-21),,,
Carrier - Fortress at Sea (USA),FZ-SW0006,,
Casper (USA),,,
Chiki Chiki Machine Mou Race - Kenken to Black Maou no Ijiwaru Daisakusen (Japan),FZ-SJ1351,,
Chiki Chiki Machine Mou Race 2 - In Space (Japan),FZ-SJ1353,,
Chiki Chiki Machine Mou Race 2 - In Space (Japan) (Demo),FZ-JJ9DSW-5H,,
Club 3DO - Station Invasion (USA),,,
Corpse Killer (Japan),,,
Corpse Killer (USA),,,
"Coven, The (USA)",,,
Cowboy Casino (USA),SCC-01-3DO,,
Crash 'n Burn (Japan),FZ-SJ1851,,
Crash 'n Burn (USA) (Not for Resale),DFJN5002ZAZ,,
"Crash 'n Burn (USA, Korea)",GDT-GA 081,,
Crayon Shin-chan - Puzzle Daimaou no Nazo (Japan),FZ-SJ1452,,
Creature Shock (USA) (Disc 1),,,
Creature Shock (USA) (Disc 2),,,
Crime Patrol (USA),ALG 000173,,
Crime Patrol (USA) (Arcade CD-ROM),,,
Crime Patrol (USA) (Beta) (1994-11-23),,,
CyberDillo (USA),FZ-SW0005,,
Cyberia (Europe),,,
Cyberia (Japan),I3D-7002,,
Cyberia (USA),,,
D (Germany) (Disc 1),FZ-SG2353,,
D (Germany) (Disc 2),FZ-SG2353,,
"D (USA, Europe) (Disc 1)",FZ-SE2353, FZ-SM2353,
"D (USA, Europe) (Disc 2)",FZ-SE2353, FZ-SM2353,
D no Shokutaku (Japan) (Disc 1),IMP-SA0701,,
D no Shokutaku (Japan) (Disc 2),IMP-SA0701,,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 1)",FZ-SJ3751,,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 2)",FZ-SJ3751,,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 3)",FZ-SJ3751,,
"Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 4)",FZ-SJ3751,,
"Daedalus Encounter, The (Japan) (Demo)",FZ-JJ9DSH-5D,,
"Daedalus Encounter, The (Korea) (Disc 1)",GDT-GA261,,
"Daedalus Encounter, The (Korea) (Disc 2)",GDT-GA261,,
"Daedalus Encounter, The (Korea) (Disc 3)",GDT-GA261,,
"Daedalus Encounter, The (Korea) (Disc 4)",GDT-GA261,,
"Daedalus Encounter, The (USA) (Disc 1)",FZ-SM3751,,
"Daedalus Encounter, The (USA) (Disc 2)",FZ-SM3751,,
"Daedalus Encounter, The (USA) (Disc 3)",FZ-SM3751,,
"Daedalus Encounter, The (USA) (Disc 4)",FZ-SM3751,,
DeathKeep (USA),,,
Decathlon (USA) (Unl),,,
Defcon 5 (Europe),,,
Defcon 5 (Germany),,,
Defcon 5 (Japan),MS3018,,
Defcon 5 (Korea),GDT-GA341,,
Demolition Man (Japan),FZ-SJ1952,,
"Demolition Man (USA, Europe)",,,
Dennis Miller - That's News to Me (USA),,,
Dennou Hyouryuu - Multimedia Cruising (Japan),FZ-SJ0351,,
"Digital Dreamware (USA, Europe)",,,
DinoPark Tycoon (USA),,,
Diving Spot Guide - Marine Tour (Japan),FZ-SJ2551,,
Doctor Hauzer (Japan),FZ-SJ0701,,
"Doom (USA, Japan)",,,
"Dragon Lore - The Legend Begins (USA, Europe) (Disc 1)",,,
"Dragon Lore - The Legend Begins (USA, Europe) (Disc 2)",,,
"Dragon Lore - The Legend Begins (USA, Europe) (Disc 3)",,,
Dragon Tycoon Edge (Japan),IMP-SE1001,,
"Dragon's Lair (Europe) (En,Fr,De,It)",,,
Dragon's Lair (Japan),FZ-SJ0153,,
Dragon's Lair (USA) (RE1),,,
"Dragon's Lair (USA, Korea)",GDT-GA 011,,
Drug Wars (USA),,,
D's Diner - The Director's Cut (Japan) (Disc A),FZ-SJ2356,,
D's Diner - The Director's Cut (Japan) (Disc B),FZ-SJ2356,,
D's Diner - The Director's Cut (Japan) (Disc C),FZ-SJ2356,,
Emit Vol. 1 - Toki no Maigo (Japan),FZ-SJ2854,,
Emit Vol. 2 - Inochigake no Tabi (Japan),FZ-SJ2855,,
Emit Vol. 3 - Watashi ni Sayonara o (Japan),FZ-SJ2856,,
Endlessly (USA),,,
Escape from Monster Manor (Europe),,,
"Escape from Monster Manor (Korea) (En,Ko)",GDT-GA091,,
Escape from Monster Manor (USA),,,
ESPN Baseball - Hitting (USA),SBB-01-3DO,,
ESPN Fitness Pros - Step Aerobics (USA),SEF-01-3DO,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 1),,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 2),,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 3),,,
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 4),SGK-01-3DO,,
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 1) (Shot Yousei Kouza Vol. 1),FZ-SJ1854,,
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 2) (Shot Yousei Kouza Vol. 2),FZ-SJ1854,,
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 3) (Pro ni Kike!),FZ-SJ1854,,
"ESPN Let's Go Skiing with Picabo Street, A. J. Kitt & Holly Flanders (USA)",SSK-01-3DO,,
ESPN Let's Play Beach Volleyball with Karch Kiraly and Karolyn Kirby (USA),SBV-01-3DO,,
ESPN Let's Play Soccer with John Harkes and Mia Hamm (USA),SSO-01-3DO,,
ESPN Let's Play Tennis with Tracy Austin (USA),STE-01-3DO,,
"Eye of Typhoon, The (Korea)",GDT-GA391,,
"Eye of Typhoon, The (Korea) (Ko) (Disc 1)",VIC-PS0001K,,
"Eye of Typhoon, The (Korea) (Rerelease)",VIC-PS0001K,,
F1GP (Japan),PCRA-00001,,
Family Feud (USA),,,
"Fatty Bear's Birthday Surprise (Japan) (En,Ja)",FZ-SJ2154,,
Fatty Bear's Birthday Surprise (USA),,,
Fatty Bear's Fun Pack (Korea),GDT-EA 011,,
Fatty Bear's Funpack (Japan),FZ-SJ2152,,
Fatty Bear's Funpack (USA),,,
FB Battery Navi Ver. II (Japan),V2-9607,,
FIFA International Soccer (Europe),,,
"FIFA International Soccer (USA, Korea)",5408, 7461, GDT-GA 201
Fire Ball!! (Japan),FZ-SJ0801,,
Fire Ball!! (Japan) (Rev 1),FZ-SJ0801,,
Firewall (Korea),GDT-GA371,,
"Flashback - The Quest for Identity (USA) (En,Fr)",,,
"Flashback (Europe) (En,Fr)",,,
"Flashback (Japan) (En,Ja,Fr,De,It,Nl)",IMP-SD0103,,
Flopon World (Japan),FZ-SJ2354,,
Flopon World (Japan) (Demo),FZ-JJ9DSF-5H,,
Flying Nightmares (Europe),,,
Flying Nightmares (USA),,,
Foes of Ali (Europe),E296DCXD,,
Foes of Ali (USA),,,
Foes of Ali (USA) (Beta) (1995-11-07),,,
