Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,Playable_Regions,Company_Short,Hardware_ID,Maker_ID,Device_Info,Area_Symbols,Peripherals,Boot_Filename
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",18WHEELER,MK-5106450,V1.700,20010430,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker (Japan),18WHEELER AMERICAN-PRO-TRUCKER,HDR-0080,V1.006,20000909,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
18 Wheeler - American Pro Trucker (USA),18WHEELER,MK-51064,V1.500,20010423,USA/Canada,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,1ST_READ.BIN
21 - Two One (Japan),21-TWOONE-,T46503M,V1.003,20011118,Japan/Asia,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799800,1ST_READ.BIN
"4 Wheel Thunder (Europe) (En,Fr)",4WHEELTHUNDER,T-9706D-50,V1.002,20000408,Europe,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,0799A10,4WT.BIN
4 Wheel Thunder (USA),4WHEELTHUNDER,T-9708N,V1.002,20000405,USA/Canada,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,0799A10,4WT.BIN
4x4 Evo (USA),4X4 EVOLUTION,T41903N,V1.001,20001012,USA/Canada,SEGA LC-T-419,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,2799811,0WINCEOS.BIN
"90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It)",90MINUTES -SEGA CHAMPIONSHIP FOOTBALL-,MK-5119050,V1.009,20010921,Europe,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799810,1ST_READ.BIN
Action Replay CDX - Demo Version (UK) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWSHARK.TXT
Action Replay CDX Version 3.0 (France) (Unl),DATEL,HDR-0030,V1.060,19990722,"Japan/Asia, USA/Canada, Europe",SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,F20E DATEL HDR,JUE,2799810,WWWXXXXX.TXT
Advanced Daisenryaku - Sturm ueber Europa - Der Deutsche Blitzkrieg (Japan),ADVANCED DAISENRYAKU,HDR-0066,V1.013,20000529,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799810,1ST_READ.BIN
Advanced Daisenryaku 2001 (Japan),ADVANCED DAISENRYAKU 2001,HDR-0158,V1.008,20010403,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,A799A10,1ST_READ.BIN
Aero Dancing - Todoroki Taichou no Himitsu Disc (Japan),AERO DANCING TODOROKI TAICHOU NO HIMITSU DISK,T6803M,V1.001,19991130,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799B10,1ST_READ.BIN
Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou (Japan),AERODANCING F/TODOROKI TSUBASA NO HATSU-HIKO,T6805M,V2.000,20001017,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Aero Dancing F (Japan),AERODANCING F,T6804M,V1.006,20000121,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Aero Dancing F (Japan) (Rev A),AERODANCING F,T6804M,V2.000,20000215,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Aero Dancing F (Japan) (Taikenban),AERODANCING F TRIAL,6107740,V1.000,19991213,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,799210,1ST_READ.BIN
Aero Dancing featuring Blue Impulse (Japan),AERO DANCING FEATURING BLUE IMPULSE,T6802M,V1.003,19990201,Japan/Asia,SEGA LC-T-68,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
