Redump_title,title,localized_title,Serial
_summer Double Sharp (Japan),_summer##,_summer ##,SLPM-66460
_summer Double Sharp (Japan),_summer## [ベスト版],_summer ## [GNsoftware Best],SLPM-66877
0 Story (Japan) (Disc 1),ラブストーリー [ディスク1/2],0 Story [Disc 1 of 2],SLPM-65002
0 Story (Japan) (Disc 2),ラブストーリー [ディスク2/2],0 Story [Disc 2 of 2],SLPM-65003
0 Story (Japan) (Taikenban),ØSTORY [体験版],0 Story [Trial],SLPM-60101
"007 - Agent Under Fire (Europe) (En,Fr,De,Es,Nl,Sv)",007 - Agent Under Fire,,SLES-50539
007 - Agent Under Fire (Korea),007 - Agent Under Fire,,SLPM-67505
007 - Agent Under Fire (USA),007 - Agent Under Fire,,SLUS-20265
007 - Everything or Nothing (Europe) (Demo),007 - Everything or Nothing [Demo],,SLED-52326
"007 - Everything or Nothing (Europe) (En,Es,It,Nl,Sv)",007 - Everything or Nothing,,SLES-52005
"007 - Everything or Nothing (Europe) (Fr,De)",007 - Everything or Nothing,,SLES-52046
007 - Everything or Nothing (Japan),007 - エブリシング オア ナッシング,007 - Everything or Nothing,SLPM-65446
007 - Everything or Nothing (Japan),007 - nightfire & 007 - エブリシング オア ナッシング [EA Best Hits Dual Pack],007 - Nightfire & 007 Everything or Nothing [EA Best Hits Dual Pack],SLPM-66616
007 - Everything or Nothing (Japan),007 - エブリシング オア ナッシング [EA BEST HITS],007 - Everything or Nothing [EA Best Hits],SLPM-65725
007 - Everything or Nothing (Korea),007 - Everything or Nothing,,SLKA-25129
007 - Everything or Nothing (USA),007 - Everything or Nothing,,SLUS-20751
007 - Everything or Nothing (USA) (Demo),007 - Everything or Nothing [Demo],,SLUS-29095
007 - From Russia with Love (Europe) (Demo),007 - From Russia with Love [Demo],,SLED-53673
"007 - From Russia with Love (Europe) (En,Fr,De,Es,It,Nl,Sv)",007 - From Russia with Love,,SLES-53553
007 - From Russia with Love (USA),007 - From Russia with Love,,SLUS-21282
007 - From Russia with Love (USA) (Demo),007 - From Russia with Love [Demo],,SLUS-29168
007 - Nagusame no Houshuu (Japan),007 - 慰めの報酬,007 - Nagusame no Houshuu,SLPM-55148
"007 - Nightfire (Europe) (De,Es)",007 - Nightfire,,SLES-51260
"007 - Nightfire (Europe) (En,Fr,It,Nl,Sv)",007 - Nightfire,,SLES-51258
007 - Nightfire (Japan),007 - nightfire [EA BEST HITS],007 - Nightfire [EA Best Hits],SLPM-65538
007 - Nightfire (Japan),007 - nightfire & 007 エブリシング オア ナッシング [EA BEST HITS],007 - Nightfire & 007 Everything or Nothing [EA Best Hits Dual Pack],SLPM-66615
007 - Nightfire (Japan),007 - nightfire,007 - Nightfire,SLPS-25203
007 - Nightfire (Korea),007 - Nightfire,,SLKA-25004
007 - Nightfire (USA),007 - Nightfire,,SLUS-20579
"007 - Quantum of Solace (Europe, Australia) (En,Fr,De,Es,It)",007 - Quantum of Solace,,SLES-55345
007 - Quantum of Solace (USA),007 - Quantum of Solace,,SLUS-21813
007 - Russia yori Ai o Komete (Japan),007 - ロシアより愛をこめて,007 - From Russia with Love,SLPM-66322
"10 Most Wanted (France) (En,Fr,De,Es,It)",10 Most Wanted,,SLES-52856
"10 Pin - Champions Alley (Europe) (En,Fr,De,Es,It,Nl)",10 Pin - Champions Alley,,SLES-53150
"10.000 Bullets (Europe) (En,Fr,De,Es,It)",10.000 Bullets,,SLES-53481
10th Anniversary Memorial Save Data (Japan) (Disc 2) (PlayStation 2 Taiou),10th Anniversary Memorial Save Data [Disc 2],10th Anniversary Memorial Save Data [Disc 2],SLPM-60262
120 Yen no Haru - 120 Yen Stories (Japan),120円の春,120 Yen no Haru,SLPM-65843
