redump_name,Title,Foreign Title,serial
"007 - From Russia with Love (Europe, Australia) (En,Fr,De,Es,It)",007: From Russia with Love,From Russia with Love,ULES-00288
"007 - From Russia with Love (UK) (En,Fr,De,Es,It)",007: From Russia with Love,From Russia with Love,ULES-00290
007 - From Russia with Love (USA),007: From Russia with Love,,ULUS 10080
007 - Russia yori Ai o Komete (Japan),007: Russia yori Ai o Komete,００７　ロシアより愛をこめて,ULJM 05129
0-ji no Kane to Cinderella - Halloween Wedding (Japan),0-ji no Kane to Cinderella: Halloween Wedding,0時の鐘とシンデレラ～Halloween Wedding～,ROSE 00025
0-ji no Kane to Cinderella - Halloween Wedding (Japan),0-ji no Kane to Cinderella: Halloween Wedding,0時の鐘とシンデレラ～Halloween Wedding～,ULJM 06272
100-Man Ton no Barabara (Japan),,,UCJS 10108
11eyes CrossOver (Japan),,,ULJM 05574
12-ji no Kane to Cinderella - Halloween Wedding (Japan),12-ji no Kane to Cinderella: Halloween Wedding,１２時の鐘とシンデレラ　～Ｈａｌｌｏｗｅｅｎ　Ｗｅｄｄｉｎｇ～,ULJM 06023
12Riven - The Psi-Climinal of Integral (Japan),,,ULJM 05743
"2 Games in 1! Archer Maclean's Mercury & Mercury Meltdown (USA) (En,Fr,Es)",2 Games in 1! Archer Maclean's Mercury & Mercury Meltdown,,ULUS 10568
2010 FIFA World Cup - Minami Africa Taikai (Japan),2010 FIFA World Cup: Minami Africa Taikai,２０１０　ＦＩＦＡ　ワールドカップ　南アフリカ大会,ULJM 05646
"2010 FIFA World Cup South Africa (Canada) (En,Fr)",2010 FIFA World Cup South Africa,,ULUS-10517
"2010 FIFA World Cup South Africa (Europe) (En,Nl)",2010 FIFA World Cup South Africa,,ULES-01412
"2010 FIFA World Cup South Africa (Europe) (Es,It)",2010 FIFA World Cup South Africa,,ULES-01414
"2010 FIFA World Cup South Africa (Europe) (Fr,De)",2010 FIFA World Cup South Africa,,ULES-01413
"2010 FIFA World Cup South Africa (Europe) (Fr,De) (Beta) (2010-02-10)",2010 FIFA World Cup South Africa,,ULES-01413/1.00
2010 FIFA World Cup South Africa (USA),2010 FIFA World Cup South Africa,,ULUS 10504
"300 - March to Glory (Europe) (En,Fr,De,Es,It)",300: March to Glory,,ULES-00766
300 - March to Glory (USA),300: March to Glory,,ULUS-10241
"3rd Birthday, The (Europe)",The 3rd Birthday,,ULES-01513
"3rd Birthday, The (Europe)",The 3rd Birthday,,ULES-01513/E
"3rd Birthday, The (Japan)",The 3rd Birthday,ザ・サード・バースデイ,ULJM 05798
"3rd Birthday, The (Japan)",The 3rd Birthday,ザ・サード・バースデイ,ULJM 06008
"3rd Birthday, The (USA)",The 3rd Birthday,,ULUS-10567
428 - Fuusa Sareta Shibuya de (Japan),428: Fuusa Sareta Shibuya de,４２８　～封鎖された渋谷で～,ULJS 00344
50 Cent - Bulletproof - G-Unit Edition (Australia),50 Cent: Bulletproof: G-Unit Edition,,ULES-00452
50 Cent - Bulletproof - G-Unit Edition (Europe),50 Cent: Bulletproof: G-Unit Edition,,ULES-00451
50 Cent - Bulletproof - G-Unit Edition (USA),50 Cent: Bulletproof: G-Unit Edition,,ULUS-10128
"7 Wonders of the Ancient World (Europe) (En,Fr,De,Es,It)",7 Wonders of the Ancient World,,ULES-01037
7 Wonders of the Ancient World (USA),7 Wonders of the Ancient World,,ULUS-10227
