redump_title,title,localized_title,serial
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),0 kara no Mahjong - Mahjong Youchien Tamago-gumi,０からの麻雀　麻雀幼稚園　たまご組,SLPS-01311
0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan),,,SLPS-02546
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),0 kara no Shougi - Shougi Youchien Ayumi-gumi,０からの将棋　将棋幼稚園　あゆみ組,SLPS-01986
0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan),,,SLPS-02920
007 - Demain ne Meurt Jamais (France),007 - Demain ne Meurt Jamais,,SLES-02375
007 - Der Morgen Stirbt Nie (Germany),007 - Der Morgen Stirbt Nie,,SLES-02376
007 - Die Welt Ist Nicht Genug (Germany),007 - Die Welt Ist Nicht Genug,,SLES-03136
007 - El Mundo Nunca es Suficiente (Spain),007 - El Mundo Nunca es Suficiente,,SLES-03137
007 - Le Monde ne Suffit Pas (France),007 - Le Monde ne Suffit Pas,,SLES-03135
007 - The World Is Not Enough (Europe),007 - The World Is Not Enough,,SLES-03134
007 - The World Is Not Enough (Sweden),007 - The World Is Not Enough,,SLES-03138
007 - The World Is Not Enough (USA),007 - The World Is Not Enough,,SLUS-01272
007 - The World Is Not Enough (USA) (Beta) (2000-08-26),007 - The World Is Not Enough (Beta),,SLUS-00978
007 - Tomorrow Never Dies (Europe),007 - Tomorrow Never Dies,,SLES-01324
007 - Tomorrow Never Dies (Japan),007 - Tomorrow Never Dies,００７　～トゥモロー・ネバー・ダイ～,SLPS-02604
007 - Tomorrow Never Dies (USA),007 - Tomorrow Never Dies,,SLUS-00975
007 Racing (Europe),007 Racing,,SLES-03355
007 Racing (France),007 Racing,,SLES-03356
007 Racing (Germany),007 Racing,,SLES-03357
007 Racing (USA),007 Racing,,SLUS-01300
1 on 1 (Japan),1 on 1,１　ｏｎ　１　～ワン　オン　ワン～,SLPS-01706
1 on 1 (Japan),,,SLPS-02298
1 on 1 (Japan) (Demo),1 on 1 (Demo),ワン・オン・ワン,SLPM-80351
100 Man Yen Quiz Hunter (Japan),100 Man Yen Quiz Hunter,１００万円クイズハンター,SLPS-01730
100% Star (Europe),100% Star,,SLES-03784
100% Star (France),100% Star,,SLES-03658
10101 - Will the Starship (Japan),10101 - Will the Starship,１０１０１　～スターシップ・ウィル～,SLPS-01054
10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou),10th Anniversary Memorial Save Data (Disc 1) (PlayStation Taiou),,SLPM-80643
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan),19 ji 03 pun - Ueno-hatsu Yakou Ressha,,SLPS-01865
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan) (Demo),19 ji 03 pun - Ueno-hatsu Yakou Ressha (Taikenban),,SLPM-80181
1Xtreme (USA),1Xtreme,,SCUS-94503
"2002 FIFA World Cup (Europe) (En,Sv)",2002 FIFA World Cup,,SLES-03830
2002 FIFA World Cup (France),2002 FIFA World Cup,Coupe du Monde FIFA 2002,SLES-03831
2002 FIFA World Cup (Germany),2002 FIFA World Cup,FIFA Fussball Weltmeisterschaft 2002,SLES-03832
2002 FIFA World Cup (Italy),2002 FIFA World Cup,Mondiali FIFA 2002,SLES-03833
2002 FIFA World Cup (Spain),2002 FIFA World Cup,,SLES-03834
"2002 FIFA World Cup (USA) (En,Es)",2002 FIFA World Cup,,SLUS-01449
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),20 Seiki Striker Retsuden,,SLPS-02348
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),20 Seiki Striker Retsuden (Rerelease),,SLPS-02857
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),20-seiki Striker Retsuden - The 20th Century's Real Strikers,２０世紀ストライカー列伝,SLPS-91416
2Xtreme (Europe),2Xtreme,,SCES-00400
2Xtreme (USA),2Xtreme,,SCUS-94508
"3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)","3, 2, 1, Smurf! My First Racing Game",,SLES-03120
"360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)",360 Three Sixty,,SLES-02089
3D Baseball - The Majors (Japan),3D Baseball - The Majors,３Ｄベースボール　～ザ・メジャー～,SLPS-00693
3D Baseball (USA),3D Baseball,,SLUS-00066
3D Kakutou Tkool (Japan),3D Kakutou Tkool,３Ｄ格闘ツクール,SLPS-01434
3D Lemmings (Europe),3D Lemmings,,SCES-00009
3D Lemmings (Japan),3D Lemmings,３Ｄレミングス,SIPS-60002
3D Lemmings (USA),3D Lemmings,,SCUS-94601
3D Mission Shooting - Finalist (Japan),3D Mission Shooting - Finalist,３Ｄミッションシューティング　ファイナリスト,SLPS-00461
3D Shooting Tkool (Japan),3D Shooting Tkool,３Ｄシューティングツクール,SLPS-00654
3D-Kaleidoscope - Baby Universe (Japan),3D-Kaleidoscope - Baby Universe,ベイビー・ユニバース,SCPS-18006
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1),3x3 Eyes - Kyuusei Koushu (Disc 1),サザン　アイズ　～吸精公主～ (DISC 1),SLPS-00071
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2),3x3 Eyes - Kyuusei Koushu (Disc 2),サザン　アイズ　～吸精公主～ (DISC 2),SLPS-00072
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1),3x3 Eyes - Tenrinou Genmu (Disc 1),,SLPS-01497
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2),3x3 Eyes - Tenrinou Genmu (Disc 2),,SLPS-01498
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3),3x3 Eyes - Tenrinou Genmu (Disc 3),,SLPS-01499
3Xtreme (USA),3Xtreme,,SCUS-94231
3Xtreme (USA) (Demo),3Xtreme (Demo),,SCUS-94365
40 Winks (Europe),40 Winks,,SLES-01937
40 Winks (Europe) (Demo),40 Winks (Demo),,SLED-02435
40 Winks (Italy),40 Winks,,SLES-01940
40 Winks (Spain),40 Winks,,SLES-01941
40 Winks (USA),40 Winks,,SLUS-00874
"4-4-2 Soccer (Europe) (En,Fr,De,Es)",4-4-2 Soccer,,SLES-00095
"4x4 World Trophy (Europe) (En,Fr,De,Es,It)",4x4 World Trophy,,SLES-02017
5 Star Racing (Europe),5 Star Racing,,SLES-04064
50 por 15 - Quiere Ser Millonario (Spain),Quiere ser millonario,,SLES-03481
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1),70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 1),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 1),SLPS-01995
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2),70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 2),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 2),SLPS-01996
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3),70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 3),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 3),SLPS-01997
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4),70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 4),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 4),SLPS-01998
70's Robot Anime - Geppy-X (Japan) (Demo),70's Robot Anime - Geppy-X (Demo),´７０年代風ロボット・アニメ　ゲッＰ－Ｘ,SLPM-80387
'98 Koushien - Koukou Yakyuu Simulation (Japan),'98 Koushien - Koukou Yakyuu Simulation,高校野球シミュレーション　’９８　ＹＥＡＲ　甲子園,SLPS-01204
'98 Koushien (Japan) (Demo),'98 Koushien (Demo),’９８　甲子園,SLPM-80238
'99 Koushien (Japan),'99 Koushien,’９９甲子園,SLPS-02110
'99 Koushien (Japan) (Demo),'99 Koushien (Taikenban),’９９甲子園,SLPM-80421
A Ressha de Ikou 4 - Evolution (Japan),A Ressha de Ikou 4 - Evolution,Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～,SLPS-00004
A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set),A Ressha de Ikou 4 - Evolution (Gentei Set),Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～,SLPS-00011
A Ressha de Ikou 4 - Evolution (Japan) (Rev 1),A Ressha de Ikou 4 - Evolution,Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～,SLPS-00004
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)",A Ressha de Ikou 4 - Evolution Global,Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～,SLPS-00125
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)",A Ressha de Ikou 4 - Evolution Global (PlayStation the Best),Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～,SLPS-91019
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),A Ressha de Ikou Z - Mezase! Tairiku Oudan,Ａ列車で行こうＺ　目指せ！大陸横断,SLPS-02050
A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),,,SLPS-02812
A Sangre Fria (Spain) (Disc 1),A Sangre Fria (Disc 1),,SCES-02153
A Sangre Fria (Spain) (Disc 2),A Sangre Fria (Disc 2),,SCES-12153
A Sangue Freddo (Italy) (Disc 1),A Sangue Freddo (Disc 1),,SCES-02152
