No-Intro Name,Game Title,Game Code,ROM Version,Byte-Order,SHA256
"007 - The World Is Not Enough (Europe) (En,Fr,De)",TWINE,NO7P,0 (0x00),big,06c65f4f35c869468502f33bf7edd2d4995c9cccada6bff30fe4e8da0209c2ac
007 - The World Is Not Enough (USA),TWINE,NO7E,0 (0x00),big,72e3e7b4ff1615bc17336d3d10e18aa9342898db063ace68922a47f5e46c48b1
007 - The World Is Not Enough (USA) (v2) (Beta),TWINE,NM4E,0 (0x00),big,5ab4affb162e2b4172ed0bbc766641b3f17417fd3619d2a048d8720d726edb87
007 - The World Is Not Enough (USA) (v21) (Beta),TWINE,NO7E,0 (0x00),big,1cd43fbe6ff06d7b326297824d3458c46014517096ba0c08e9edfab75639bbfa
"1080 Snowboarding (Europe) (En,Ja,Fr,De)",1080 SNOWBOARDING,NTEP,0 (0x00),big,a5d47b9b21bc2c234a0e5c8a1f7eb0e893a914e17a0755318b48c5ad15b7d13c
"1080 Snowboarding (Japan, USA) (En,Ja)",1080 SNOWBOARDING,NTEA,0 (0x00),big,5e9d7168e5786ba1bd4b643431ba7100ff3d7a09e558acae15438d426c0f34df
"1080 Snowboarding (USA) (En,Ja) (LodgeNet)",1080 SNOWBOARDING,NTEG,0 (0x00),big,34a00b431f7b059af48e3a18d1f539835a4ebcd80866475a871c710b56fe6a85
"2048 (World) (En,Fr,Es) (Aftermarket) (Unl)",2048-64,(unknown),0 (0x00),big,84e26880c801547a071cdcd5b5fb21ae1354686a4e521aace715cc25fda1e346
3D Model RGB Test Program (USA) (Test Program),40 WINKS,N4WE,0 (0x00),big,c907f2d572a623e5458fa5b474849e0d66b9e86eefe6a72e302ed7a0506d6eb1
"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)",40 WINKS,N4WX,0 (0x00),big,899b866a45dfbebc8152a3122f28aa0ba906fb448dc6b2dc7c7442e7622b5442
40 Winks (USA) (Aftermarket) (Unl),40 WINKS,N4WE,0 (0x00),big,057232ef7618e25f5645df50d3cd45f08cb5a2cccb3e2fdf48faa8755c4ddb1a
40 Winks (USA) (Proto) (2000-01-10),40 WINKS,N4WZ,0 (0x00),big,9316ffbe863051a7464e33b9837d6deff11845389a6b275ce6541eded4caa7b0
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),(empty),NTWJ,0 (0x00),big,77f656a9e71c286d41a1e84c26bcdf126fd7598807c98b62e96491c76da403d6
64 Hanafuda - Tenshi no Yakusoku (Japan),64 ~~,NHFJ,0 (0x00),big,08e68047b4eed07de7a05bf50c2011b44a8de553440b99b3f4ef2c15ac94d518
64 Oozumou (Japan),64 OHZUMOU,NOSJ,0 (0x00),big,661420aa5a7b5c0f86aad0dad813a0c876b99267d9d92fed0f4507e8e2a37240
64 Oozumou 2 (Japan),64  2,NO2J,0 (0x00),big,3ff701b4735c84b17f8d80a996db59801caa766ee7da4d3e5a3b88eb34d99a17
64 Trump Collection - Alice no Wakuwaku Trump World (Japan),64 TRUMP COLLECTION,NTCJ,0 (0x00),big,afc2eedcd4e7cfe6fd0e56259a45d58ed5647f7ce64fad6d2199312ea564de6f
Action Replay Pro 64 (Europe) (v3.0) (Unl),(C) MUSHROOM &NU15:5,99,0 (0x00),big,921cb11324fee888ea0277e55c2756bb1a201153b72881e1049eb262d025af24
Action Replay Pro 64 (Europe) (v3.3) (Unl),(C) MUSHROOM &NU16:0,',39 (0x27),big,92c25b26356ec21aa9d903da3b76ef2e0d49d97701d4b5ff41f1f3b6aefb4909
"AeroFighters Assault (Europe) (En,Fr,De)",AERO FIGHTERS ASSAUL,NSAP,0 (0x00),big,be4a5d9c32e79334ddbe1611136b6a7c31c1e41a2a1024bbc32eec6632855c4d
AeroFighters Assault (USA),AERO FIGHTERS ASSAUL,NERE,0 (0x00),big,5abd27f2be286d6814d64c76a521a80b2b07d03802a71bc03e61e80a16b27931
"AeroGauge (Europe) (En,Fr,De)",AEROGAUGE,NAGP,0 (0x00),big,acae3faba2f0f3e55d6fc0746b392275cbaf51a27e82cf4f88adcc32080d481a
AeroGauge (Japan) (Demo) (Kiosk),AEROGAUGE,NAGJ,0 (0x00),big,1ae451dbfbc4b9206356f765f18b7d2db4722e63cd39e656a5405a175d29eba2
AeroGauge (Japan) (Rev 1),AEROGAUGE,NAGJ,1 (0x01),big,1abff752862450bbfd3cfbb75b1c217daa57f524bee65f14ae436519a615368a
AeroGauge (USA),AEROGAUGE,NAGE,0 (0x00),big,2cc529109b11b00289d87f693a40591ef260d1dc7c1129113966ba6ddb1be4a5
AI Shougi 3 (Japan),AI3,NS3J,0 (0x00),big,05265ab26612612b5573971c217709a073b44640182333ea87269975c324c9b9
Aidyn Chronicles - The First Mage (Europe),AIDYN_CHRONICLES,NAYP,0 (0x00),big,19a7739f1a3c8db931eaffc0cbcaebc4f4a93da7d550a257258bcde6eab1a1a7
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02),AIDYN_CHRONICLES,NAYP,0 (0x00),big,954843718bd0ba6d19d214aead72895df8c47fe96505fa9c2caa57f2ff89a261
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-04-10),AIDYN_CHRONICLES,NAYP,0 (0x00),big,d6bfc15751cfcfb668cca0d2038cb0919873bc39c15f77dfa3d32f8f72dd0c90
Aidyn Chronicles - The First Mage (USA),AIDYN_CHRONICLES,NAYE,0 (0x00),big,64e80de903faa4ddd40f3f0f077ca814f82b6cb46c1de14b7b968bbd380bf41c
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10),(empty),(unknown),0 (0x00),big,0069edab529c75ea72e028b05b0f580152dd86b3896e7579f399ccc35e1ec939
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09),(empty),(unknown),0 (0x00),big,c975fb203ce3ceec6276e5c88c5172c6c353f8e1f03693c81e49df997ab29cd8
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05),(empty),(unknown),0 (0x00),big,468efe1af342f60b93461c50cbcc471f41f48f4e54c81ef622b69820a9d00c32
Aidyn Chronicles - The First Mage (USA) (Rev 1),AIDYN_CHRONICLES,NAYE,1 (0x01),big,c1ceed1e7fe15263bd915062e2eedddc4f4f32991e4dbf2acd6ee7d0703f14ec
Air Boarder 64 (Japan),64,NABJ,0 (0x00),big,e3fa6d6f13671237e703f32d01f48aff62071114a7a92086c9e3229d1b943ecc
Airboarder 64 (Europe),AIR BOARDER 64,NABP,0 (0x00),big,adc68241f2472aa5b4cd71f189f0b04f44d99e4d29776e831feb0ef86e6ceb79
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),DRACULA MOKUSHIROKU,ND3J,0 (0x00),big,f5b8a1bd8dd4d03b5fe291428b284ca30d9afd300fe25f60317aa1e4590db638
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),DRACULA MOKUSHIROKU2,ND4J,0 (0x00),big,51a0443883f3f94b20b6fb9a8688631c51bc7feafb143c51e48dc7198adfd1ca
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",ALL STAR TENNIS '99,NTNP,0 (0x00),big,84bf65f8d325cebe502495ed959c3a1804363376897e2ab4812df5e7684965e4
All Star Tennis 99 (USA),ALL STAR TENNIS '99,NTNE,0 (0x00),big,c42c19a076522451233d9cf02ee73013c4017daced799a1f71601948c9117705
All-Star Baseball 2000 (Europe),All-Star Baseball '0,NBEP,0 (0x00),big,2e30b758271c441eab2ed35dcf3a542fd46782522607c2fd6b1663771b756e07
All-Star Baseball 2000 (USA),All-Star Baseball '0,NBEE,0 (0x00),big,f354489d79d6ca69a43f3bf95e0e112a6d3a20acdbf96ae847c4180aa0154791
All-Star Baseball 2001 (USA),All-Star Baseball 20,NASE,0 (0x00),big,35313f399fd98072bd7dd22d98814bb2b5e49aadcc654b51d558b639c438f144
All-Star Baseball 99 (Europe),All-Star Baseball 99,NBSP,0 (0x00),big,94c4b3f6964109fe237e158ba5a659d5c05b14361f35f6c36a3e6583434782ef
