TOSEC Name,Game Title,Product Number (GameID),Version,Build Date,Playable Regions,Area Symbols,Device Info,Peripherals,Company,Hardware ID,Maker ID,Boot Filename,File Size (bytes)
102 Dalmatians - Puppies to the Rescue v1.000 (2000)(Eidos)(PAL)(GB)[!],102 DALMATIANS,T36813D 05,V1.000,20001120,Europe,E,GD-ROM1/1,0199A10,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,16073568
102 Dalmatians - Puppies to the Rescue v1.000 (2001)(Eidos)(PAL)(M4)[!],102 DALMATIANS,T36813D 50,V1.000,20010110,Europe,E,GD-ROM1/1,0199A10,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,16073568
102 Dalmatians - Puppies to the Rescue v1.001 (2000)(Eidos)(US)[!],102 DALMATIANS,T36803N,V1.001,20001026,USA/Canada,U,GD-ROM1/1,0199A10,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1422960
18 Wheeler - American Pro Trucker v1.006 (2000)(Sega)(JP)[!],18WHEELER AMERICAN-PRO-TRUCKER,HDR-0080,V1.006,20000909,Japan/Asia,J,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
18 Wheeler - American Pro Trucker v1.500 (2001)(Sega)(US)[!],18WHEELER,MK-51064,V1.500,20010423,USA/Canada,U,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
18 Wheeler - American Pro Trucker v1.700 (2001)(Sega)(PAL)(M4)[!],18WHEELER,MK-5106450,V1.700,20010430,Europe,E,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
21 - Two One v1.003 (2001)(Princess Soft)(JP)[!],21-TWOONE-,T46503M,V1.003,20011118,Japan/Asia,J,GD-ROM1/1,799800,SEGA LC-T-465,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
4 Wheel Thunder v1.002 (2000)(Midway)(PAL)(en-fr)[!],4WHEELTHUNDER,T-9706D-50,V1.002,20000408,Europe,E,GD-ROM1/1,0799A10,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,4WT.BIN,2817696
4 Wheel Thunder v1.002 (2000)(Midway)(US)[!],4WHEELTHUNDER,T-9708N,V1.002,20000405,USA/Canada,U,GD-ROM1/1,0799A10,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,4WT.BIN,2817696
4X4 EVO v1.001 (2000)(GOD)(US)[!],4X4 EVOLUTION,T41903N,V1.001,20001012,USA/Canada,U,GD-ROM1/1,2799811,SEGA LC-T-419,SEGA SEGAKATANA,SEGA ENTERPRISES,0WINCEOS.BIN,1425312
