No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,CRC32,MD5,SHA1,SHA256
007 Shitou - The Duel (Japan),SEGA MEGA DRIVE,(C)T-48 1993.MAY,007 (James Bond)The Duel.,007 (James Bond)The Duel.,GM,T-48073,0,29510 (0x7346),J,AEB4B262,83bddf31e7571aefc6add5d00707df9e,7e0de7011a60a1462dc48594f3caa956ff942281,55b39ad2405c4060cc50072c500b877f30a58694ea5a26884f6f2cdd6b7de4bf
10 Super Jogos (Brazil) (En),SEGA MEGA DRIVE,(C)SEGA 1997.May,SEGA TOP10,SEGA TOP10,GM,MK-1281,(unknown),53839 (0xD24F),F,C19AE368,0d1c2d48509985f2d79b0fc3c8fe213a,791a4de13cfe2af4302aac969753d67dd76e89c8,5704029692c5f2c99ab9b5dd9e6d47f4eebb7aad7f6a07a2ca405d56a14e2f6a
14-in-1 (Taiwan) (En) (Aftermarket) (Pirate),SEGA GENESIS,(C)T-48 1991.MAR,MS PACMAN,MS PACMAN,GM,T-48036,0,14686 (0x395E),U,5DAE911B,3c141cdcc3d9f8c45bc3f9f4197d92cd,7551b201328d4b31dda741b947d1e177d1e5b897,7e1dd129a814f8f4f0e2e93871f71205052a4f4140342db0f9d5bf29e10154b5
16t (Japan) (Game no Kanzume Otokuyou),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),43497 (0xA9E9),J,98149EAF,15361874deab5a8c3a7611a81f041131,ff564e8db95697103caca81c45efb29f47e7e7e0,44d8cd5b8355d223f281ce607657e36545f532ae22cba5ef484fefef62953a58
16t (Japan) (Game no Kanzume Vol. 2),SEGA MEGA DRIVE,(C)SEGA 1990.AUG,ｾｶﾞ･ﾈｯﾄ･ｶｰﾄﾘｯｼﾞ･「ゲーム図書館」,"SEGA NET CARTRIDGE ""GAME LIBRARY""",GM,00054503-00,(unknown),38667 (0x970B),J,CCBCA73F,0929ff7ef87a64185931166d66e56dc7,4bf91eb3b83af34d979598ce263730525eb6093e,a92162941fb568e306d02e4aa999cc748f2e4e26314ae8928a74e7c591f16bb3
16t (Japan) (SegaNet),SEGA MEGA DRIVE,(C)SEGA 1989.OCT,SEGANET GAME,SEGANET GAME,GM,00054503-00,(unknown),13994 (0x36AA),J,537F04B6,325965a3a8c6a47ee8efd59e4abfc25f,fd978f7f643311de21de17ed7ed1e7c737b518ee,94cfa6b26980c657db6e63c3e0062bf6186f7610f4b248bdc22299997c2468b4
2020 Nen Super Baseball (Japan),SEGA MEGA DRIVE,(C)T-50 1994.FEB,2020 SUPER BASEBALL,2020 SUPER BASEBALL,GM,T-106273-00,(unknown),21624 (0x5478),UJ,2BBEE127,7a07e37da58c5e8c2750ec7a4c1b37e9,3d00178aecd7611c7e4ad09ea07e8436de6a5375,158421089ff076e9da73e501135b1e8f2d930ce4fd8b95bf599d21f40113035c
240p Test Suite (World) (v1.23) (Emu) (Program) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C) AUG 2022.JAN,240P TEST SUITE,240P TEST SUITE,GM,00002501-23,(unknown),48191 (0xBC3F),JUE,65262D54,a78306246323693a58a3e1cff11ea1cd,14dd464500557de24f4170d6afbc3be9f7a090df,ca3ddeee722ccdfb8e475de37b7c999a740d13fc63d7862ccd31746d670df614
240p Test Suite (World) (v1.23) (Program) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C) AUG 2022.JAN,240P TEST SUITE,240P TEST SUITE,GM,00002501-23,(unknown),48191 (0xBC3F),JUE,439FE2F4,2badda59c966318b87aa2c942cf0fed2,1d2d80d277ffd6ec9e8b7a624d511f7891c8100c,e6cdc5f7efe91378a77026ce40565265bb26a1f5748cca8896660d13cf9755db
3 Ninjas Kick Back (USA),SEGA GENESIS,(C)T-1131994.OCT,3 NINJAS KICK BK,3 NINJAS KICK BK,GM,T-113076-00,(unknown),39386 (0x99DA),U,E5A24999,df666774c0b73e112739b68c8841658b,d634e3f04672b8a01c3a6e13f8722d5cbbc6b900,8cfdc448d06259ade9390aead7b997872f99bf88a89e4b247d8ccb4ce180f70b
30 Years of Nintendon't (World) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C)DR.LUDOS 2018,30 YEARS OF NINTENDON'T,30 YEARS OF NINTENDON'T,GM,00000000-00,(unknown),0 (0x0000),JUE,8C9E3AF3,a3ef680d74cb1a030f5c44930a052168,f1cd840f271d3197d9f6706795898a880c81ff83,6aea65741c70e06fa2b1db439ea9c3054756456d72677e03db8fd9b5b33b92ca
30 Years of Nintendon't (World) (Digital) (Aftermarket) (Unl),SEGA MEGA DRIVE,(C)DR.LUDOS 2018,30 YEARS OF NINTENDON'T,30 YEARS OF NINTENDON'T,GM,00000000-00,(unknown),0 (0x0000),JUE,C0A77062,8eff2078a60dcb22f45ef7fd8dabfd88,d79f489f05b6717ba7f8630e2d1b493175e29162,ee4619288497e3e106a0059aa4eff40c202df02f5ff5757b054c6efffac14a2c
