Redump Name,Game Title,Product ID,Version,Hardware,Marker ID,Build Date,Disc Type,Peripherals,Region
2do Aru Koto wa Sando R (Japan),SAND R,T-6802G,V1.003,SEGA SEGASATURN,SEGA TP T-68,19960307,CD-1/1,J,J
2Tax Gold (Japan),NITAX_GOLD                                                                                         For JAPAN,T-4305G,V1.002,SEGA SEGASATURN,SEGA TP T-43,19961122,CD-1/1,J,J
3D Baseball - The Majors (Japan),3D BASEBALL THE MAJORS,T-18003G,V1.000,SEGA SEGASATURN,SEGA TP T-159,19961111,CD-1/1,JAT,J
3D Baseball (USA),3D BASEBALL,T-15906H,V1.002,SEGA SEGASATURN,SEGA TP T-159,19961108,CD-1/1,JAT,U
3D Lemmings (Europe),LEMMINGS 3D,T-11304H,V3.08,SEGA SEGASATURN,SEGA TP T-113,19960530,CD-1/1,J,E
3D Lemmings (Japan),LEMMINGS 3D,T-15013G,V3.100,SEGA SEGASATURN,SEGA TP T-150,19960612,CD-1/1,JM,J
3D Mission Shooting - Finalist (Japan),FINALIST,T-18511G,V1.000,SEGA SEGASATURN,SEGA TP T-185,19970619,CD-1/1,J,J
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-1/3,J,J
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-2/3,J,J
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-3/3,J,J
6 Inch My Darling (Japan),6INCH MY DARLING,T-19721G,V1.001,SEGA SEGASATURN,SEGA TP T-197,19981025,CD-1/1,J,J
"Actua Golf (Europe) (En,Fr,De)",ACTUA GOLF,T-12302H,V1.500,SEGA SEGASATURN,SEGA TP T-123,19961024,CD-1/1,JT,E
Actua Golf (Japan),ACTUA GOLF,T-18710G,V1.100,SEGA SEGASATURN,SEGA TP T-187,19961024,CD-1/1,JT,J
Actua Soccer - Club Edition (Europe),ACTUA SOCCER CLUB EDITION,T-12305H,V1.100,SEGA SEGASATURN,SEGA TP T-123,19970429,CD-1/1,J,E
